el actor,actor,0,0
la actriz,actress,0,0
la entrada,ticket,0,0
la estrella,star,0,0
la pantalla,screen,0,0
la comedia,comedy,0,0
el documental,documentary,0,0
una película…,a… film,0,0
de acción,action,0,0
de ciencia ficción,science fiction,0,0
dramática,drama,0,0
de guerra,war,0,0
de misterio,mystery,0,0
musical,musical,0,0
romántica,romantic,0,0
de terror,horror,0,0
estrenar una película,to release a film,0,0
presentar una película,to show a film,0,0
el estreno,opening,0,0
aburrida,boring,0,0
animada,animated,0,0
conmovedora,moving,0,0
creativa,creative,0,0
deprimente,depressing,0,0
emocionante,moving,0,0
entretenida,entertaining,0,0
épica,epic,0,0
de espanto,scary,0,0
estupenda,stupendous,0,0
imaginativa,imaginative,0,0
impresionante,impressive,0,0
sorprendente,surprising,0,0
de suspenso ,suspenseful,0,0
trágica,tragic,0,0
el/la artista,artist,0,0
el/la cantante,singer,0,0
el conjunto,group/band,0,0
el empresario,agent,0,0
el guitarrista,guitarist,0,0
el músico,musician,0,0
el/la pianista,pianist,0,0
la batería,drums,0,0
el concierto,concert,0,0
la gira,tour,0,0
la guitarra ,guitar,0,0
la música,music,0,0
la orquesta,orchestra,0,0
el piano,piano,0,0
el tambor,drum,0,0
la trompeta,trumpet,0,0
cantar,to sing,0,0
dar un concierto,to perform a concert,0,0
ensayar,to practice,0,0
grabar,to record,0,0
hacer una gira,to tour,0,0
sacar una canción,to release a song,0,0
el jazz,jazz,0,0
la música clásica,classical music,0,0
la música folclórica,folk music,0,0
la música popular,pop music,0,0
la música rap,rap music,0,0
la opera,opera,0,0
el rock,rock,0,0
la salsa,salsa,0,0
apasionado,passionate,0,0
fino,fine/delicate,0,0
lento,slow,0,0
suave,smooth,0,0
el aficionada,fan,0,0
la fama,fame,0,0
el genero,genre,0,0
la habilidad,ability/skill,0,0
la letra,lyrics,0,0
el ritmo,rhythm,0,0
la voz,voice,0,0
me,direct object me,0,0
te,direct object you (fam),0,0
lo/la,direct object you (form),0,0
lo/la,direct object  him/her/it,0,0
nos,direct object us,0,0
os,direct object yawl ,0,0
los/las,direct object yawl (form spain),0,0
los/las,direct object them,0,0
yo aprendí,I learned (pret),0,0
tu aprendiste,you learned (pret fam),0,0
Ud. Aprendió,you learned (pret form),0,0
el aprendió,he learned (pret),0,0
nosotros aprendimos,we learned (pret),0,0
vosotros aprendisteis,yawl learned (pret spain),0,0
Uds. Aprendieron,yawl learned (pret),0,0
ellos aprendieron,they learned (pret),0,0
yo escribí,I wrote (pret),0,0
tu escribiste,you wrote (pret fam),0,0
Ud. Escribió,you wrote (pret form),0,0
el escribió,he wrote (pret),0,0
nosotros escribimos,we wrote (pret),0,0
vosotros escribisteis,yawl wrote (pret spain),0,0
Uds. Escribieron,yawl wrote (pret),0,0
ellos escribieron,they wrote (pret),0,0
anoche,last night,0,0
anteayer,the day before yesterday,0,0
ayer,yesterday,0,0
al ano pasado,last year,0,0
el fin de semana pasado,last weekend,0,0
el martes pasado,last Tuesday,0,0
la semana pasada,las week,0,0
yo escuché,I heard (pret),0,0
tu escuchaste,you heard(pret fam),0,0
Ud. escuchó,you heard(pret form),0,0
el escuchó,he heard (pret),0,0
nosotros escuchamos,we heard (pret),0,0
vosotros escuchasteis,yawl heard (pret spain),0,0
Uds. Escucharon,yawl heard (pret),0,0
ellos escucharon,they heard,0,0
este / esta,this one,0,0
estos estas,these,0,0
ese / esa,that one,0,0
esos / esas,those,0,0
aquel / aquella,that one (far away),0,0
aquellos / aquellas,those (far away),0,0
apoyar a un candidato,to support a candidate,0,0
ayudar a los personas mayores,to help elderly people,0,0
circular una petición,to circulate a petition,0,0
dar un paseo,to go for a walk,0,0
deber,should,0,0
el deber,obligation,0,0
hacer artesanía,to make arts and crafts,0,0
hacer una hoguera,to light a campfire,0,0
ir de excursión,to take a short trip,0,0
ir de campin,to go camping,0,0
montar una tienda de campana,to put up a tent,0,0
organizar,to organize,0,0
participar en una campana política,to participate in a political campaign,0,0
repartir comidas,to hand out/deliver food,0,0
trabajar como consejero,to work as a counselor,0,0
trabajar como voluntario en la residencia de ancianos,to volunteer at a nursing home,0,0
trabajar en el campamento de niños,to work in summer camp,0,0
trabajar en política,to work in politics,0,0
viajar en canoa,to canoe,0,0
el voluntariado,volunteerism,0,0
a veces,sometimes,0,0
algo,something/anything,0,0
alguien,someone,0,0
algún,some masc. sing adj,0,0
alguno,some/any (adj),0,0
o … o,either … or,0,0
siempre,always,0,0
jamás,never/ not ever (emphatic),0,0
nada,nothing,0,0
nadie,no one; nobody,0,0
ni … ni,neither … nor,0,0
ningún,none masc. sing adj,0,0
ninguno,none (adj),0,0
nunca,never ,0,0
el almacén,department store,0,0
el banco,bank,0,0
el bar / el club,bar / club,0,0
el café,café,0,0
el cajero automático,ATM,0,0
el centro,downtown,0,0
el centro comercial,mall / business or shopping district,0,0
el cibercafé,internet café,0,0
el cine,movie theater,0,0
la iglesia,church,0,0
el mercado,market,0,0
el museo,museum,0,0
la oficina de correos,post office,0,0
el parque,park,0,0
la plaza,town square,0,0
el restaurante,restaurant,0,0
el supermercado,supermarket,0,0
el teatro,theater,0,0
el templo,temple,0,0
buscar,to look for,0,0
ir,to go,0,0
mandar un carta,to send a letter,0,0
saber,to know,0,0
almorzar,to have lunch,0,0
cerrar,to close,0,0
comenzar,to begin,0,0
costar,to cost,0,0
demostrar,to demonstrate,0,0
devolver,to return (an object),0,0
dormir,to sleep,0,0
empezar,to begin,0,0
encerrar,to enclose,0,0
encontrar,to find,0,0
entender,to understand,0,0
jugar,to play,0,0
mentir,to lie,0,0
morir,to die,0,0
mostrar,to show,0,0
pedir,to ask for,0,0
pensar,to think,0,0
perder,to lose / to waste,0,0
perseguir,to chase,0,0
preferir,to prefer,0,0
recomendar,to recommend,0,0
recordar ,to remember,0,0
repetir,to repeat,0,0
seguir,to follow/ to continue doing something,0,0
servir,to serve,0,0
volver,to return,0,0
la ciudad,city,0,0
la cuenta,bill/account,0,0
la película,movie/film,0,0
el pueblo,town/village,0,0
Voy a mandar esta carta,I'm going to mail this letter,0,0
ir,to go,0,0
yo voy,I go,0,0
tu vas,you go (fam),0,0
Ud. Va,you go (form),0,0
el/ ella va,he/she goes,0,0
nosotros vamos,we go,0,0
vosotros vais,yawl go (spain),0,0
Uds. Van,yawl go,0,0
ellos van,they go,0,0
yo encuentro,I find,0,0
yo almuerzo,I have lunch,0,0
yo cuesto,I cost,0,0
yo duermo,I sleep,0,0
yo muero,I die,0,0
yo muestro,I show,0,0
yo recuerdo,I remember,0,0
yo vuelvo,I return,0,0
yo juego,I play,0,0
yo cierro,I close,0,0
yo comienzo,I begin,0,0
yo empiezo,I begin,0,0
yo entiendo,I understand (not comprendo),0,0
yo miento,I lie,0,0
yo pienso,I think,0,0
yo pierdo,I lose/waste,0,0
yo prefiero,I prefer,0,0
yo recomiendo,I recommend,0,0
yo pido,I ask for,0,0
yo repito,I repeat,0,0
yo sigo,I follow/continue doing something,0,0
yo sirvo,I serve,0,0
yo se,I know (facts),0,0
tu sabes,you know (facts)(fam),0,0
Ud. Sabe,you know (facts)(form),0,0
nosotros sabemos,we know (facts),0,0
Yo se toca la guitarra,I know how to play the guitar,0,0
¿Que sabes sobre la música de Guatemala?,What do you know about Guatemalan music?,0,0
a la derecha (de),to the right (of),0,0
a la izquierda (de),to the left (of),0,0
al lado (de),next (to),0,0
detrás (de),behind,0,0
enfrente (de),in front (of),0,0
estar de acuerdo,to agree,0,0
mejor,best,0,0
peor,worst,0,0
el altillo,attic,0,0
el balcón,balcony,0,0
el baño,bathroom,0,0
la cocina,kitchen,0,0
el comedor,dining room,0,0
el cuarto,room,0,0
el dormitorio,bedroom,0,0
la escalera,staircase,0,0
el garaje,garage,0,0
el jardín,garden,0,0
la oficina,office,0,0
el piso,floor like which floor of the building,0,0
la sala,living room,0,0
el sótano,basement,0,0
el suelo,floor ,0,0
el techo,roof,0,0
la planta baja,ground floor,0,0
el primer piso,second floor,0,0
el segundo piso,third floor,0,0
el tercer piso,fourth floor,0,0
conocer,to be acquainted with,0,0
dar,to give,0,0
hacer,to do / to make,0,0
oír,to hear,0,0
poder,to be able to,0,0
poner,to put / to place,0,0
querer,to want / to love,0,0
salir,to leave / to go out,0,0
traer,to bring,0,0
venir,to come,0,0
ver,to see (with ones eyes ),0,0
la alfombra,rug / carpet,0,0
el estante,bookcase,0,0
la lampara,lamp,0,0
el sillón,armchair,0,0
el sofá,sofa,0,0
la estufa,stove,0,0
el lavaplatos,dishwasher,0,0
el microondas,microwave,0,0
el refrigerador,refrigerator,0,0
la bañera,bathtub,0,0
el bidé,bidet,0,0
la ducha,shower,0,0
el inodoro,toilet,0,0
el lavabo,sink,0,0
la almohada,pillow,0,0
la cama,bed ,0,0
la colcha,bedspread / comforter,0,0
la cómoda,dresser,0,0
